Date,Price,Open,High,Low,Volume,Change
"Jun 05, 2012",1440.1,1432.8,1448.7,1430.8,-,0.53
"Jun 04, 2012",1432.55,1438.65,1448.95,1423.5,-,-0.56
"Jun 03, 2012",1440.55,1442.5,1446.3,1438.25,-,-0.24
"Jun 01, 2012",1444.05,1406.15,1447.55,1388.7,-,2.65
"May 31, 2012",1406.75,1407.4,1419.6,1393.45,-,-0.04
"May 30, 2012",1407.3,1428.9,1431.65,1387.2,-,-1.49
"May 29, 2012",1428.6,1437.4,1448.7,1423.85,-,-0.63
"May 28, 2012",1437.6,1431.4,1442.75,1430.55,-,0.45
"May 27, 2012",1431.2,1433.45,1438.85,1429.85,-,-0.02
"May 25, 2012",1431.5,1421.25,1435.05,1412.05,-,0.73
"May 24, 2012",1421.15,1422.65,1434.5,1411.65,-,-0.12
"May 23, 2012",1422.85,1444.15,1446.85,1406.95,-,-1.45
"May 22, 2012",1443.85,1472.55,1473.65,1443.1,-,-1.95
"May 21, 2012",1472.6,1459.85,1473.3,1458.35,-,0.9
"May 20, 2012",1459.5,1456.45,1459.9,1455.45,-,0.26
"May 18, 2012",1455.75,1452.2,1466.25,1443.55,-,0.23
"May 17, 2012",1452.45,1438.2,1458.6,1436.55,-,0.99
"May 16, 2012",1438.15,1436.2,1443.25,1422.75,-,0.13
"May 15, 2012",1436.3,1440.65,1454.3,1431.7,-,-0.36
"May 14, 2012",1441.55,1467.65,1476.8,1437.45,-,-1.8
"May 13, 2012",1468.0,1468.4,1470.6,1467.65,-,0.24
"May 11, 2012",1464.45,1487.7,1488.2,1461.05,-,-1.57
"May 10, 2012",1487.85,1497.6,1508.95,1485.7,-,-0.66
"May 09, 2012",1497.7,1509.5,1512.7,1490.6,-,-0.79
"May 08, 2012",1509.55,1523.95,1534.45,1501.5,-,-0.95
"May 07, 2012",1524.0,1523.0,1532.85,1512.8,-,0.08
"May 06, 2012",1522.8,1524.45,1524.85,1516.7,-,-0.23
"May 04, 2012",1526.35,1538.35,1541.2,1521.3,-,-0.76
"May 03, 2012",1538.1,1562.2,1565.15,1531.45,-,-1.55
"May 02, 2012",1562.25,1572.65,1573.5,1559.5,-,-0.69
"May 01, 2012",1573.1,1574.55,1578.75,1560.25,-,-0.04
"Apr 30, 2012",1573.8,1576.45,1578.45,1566.6,-,-0.17
"Apr 29, 2012",1576.55,1574.3,1576.55,1572.95,-,0.18
"Apr 27, 2012",1573.75,1569.2,1579.55,1563.05,-,0.28
"Apr 26, 2012",1569.35,1556.4,1574.2,1554.6,-,0.85
"Apr 25, 2012",1556.1,1549.25,1559.25,1543.15,-,0.44
"Apr 24, 2012",1549.35,1560.15,1561.75,1545.1,-,-0.69
"Apr 23, 2012",1560.1,1584.8,1584.85,1553.05,-,-1.56
"Apr 22, 2012",1584.75,1583.4,1584.8,1582.7,-,0.21
"Apr 20, 2012",1581.4,1578.7,1586.75,1572.8,-,0.16
"Apr 19, 2012",1578.8,1581.45,1597.05,1574.35,-,-0.14
"Apr 18, 2012",1581.05,1584.05,1595.35,1575.7,-,-0.19
"Apr 17, 2012",1584.1,1576.95,1588.05,1566.2,-,0.44
"Apr 16, 2012",1577.15,1583.05,1583.3,1562.8,-,-0.39
"Apr 15, 2012",1583.25,1587.75,1587.85,1582.55,-,-0.17
"Apr 13, 2012",1585.9,1609.45,1610.25,1583.0,-,-1.46
"Apr 12, 2012",1609.4,1589.65,1609.45,1582.95,-,1.26
"Apr 11, 2012",1589.35,1606.0,1607.65,1583.0,-,-1.05
"Apr 10, 2012",1606.2,1617.8,1632.05,1584.85,-,-0.71
"Apr 09, 2012",1617.75,1622.7,1626.9,1611.25,-,-0.29
"Apr 08, 2012",1622.5,1613.25,1623.4,1612.25,-,0.93
"Apr 05, 2012",1607.5,1602.35,1610.95,1589.85,-,0.28
"Apr 04, 2012",1603.05,1645.65,1648.45,1598.05,-,-2.64
"Apr 03, 2012",1646.45,1657.4,1670.8,1642.4,-,-0.66
"Apr 02, 2012",1657.35,1650.0,1659.7,1640.55,-,0.45
"Apr 01, 2012",1649.95,1645.2,1649.95,1644.95,-,0.41
